,0
0,1
1,1
2,0
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,0
19,1
20,0
21,0
22,0
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,0
43,1
44,1
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,1
54,1
55,0
56,1
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,1
65,0
66,1
67,1
68,1
69,1
70,0
71,1
72,1
73,0
74,0
75,0
76,1
77,1
78,1
79,0
80,0
81,1
82,0
83,1
84,0
85,0
86,1
87,1
88,0
89,1
90,1
91,0
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,0
100,0
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,0
114,0
115,1
116,1
117,1
118,1
119,0
120,0
121,0
122,1
123,1
124,0
125,1
126,1
127,1
128,0
129,0
130,1
131,1
132,0
133,0
134,1
135,1
136,0
137,1
138,1
139,1
140,0
141,1
142,1
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,1
155,1
156,1
157,0
158,1
159,0
160,0
161,1
162,0
163,0
164,0
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,0
177,0
178,1
179,0
180,1
181,1
182,0
183,1
184,0
185,1
186,0
187,0
188,0
189,0
190,1
191,0
192,1
193,1
194,1
195,1
196,0
197,0
198,1
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,1
211,0
212,0
213,1
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,1
234,0
235,1
236,0
237,0
238,1
239,1
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,0
272,0
273,1
274,1
275,0
276,1
277,1
278,0
279,1
280,0
281,1
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,0
290,1
291,0
292,0
293,1
294,0
295,0
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,0
305,0
306,1
307,1
308,0
309,0
310,0
311,1
312,0
313,0
314,0
315,0
316,0
317,1
318,1
319,1
320,0
321,1
322,1
323,0
324,0
325,1
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,1
334,1
335,0
336,1
337,0
338,0
339,1
340,1
341,1
342,1
343,1
344,0
345,1
346,1
347,0
348,1
349,0
350,0
351,0
352,1
353,1
354,1
355,0
356,0
357,1
358,0
359,1
360,0
361,0
362,1
363,1
364,1
365,0
366,1
367,0
368,1
369,1
370,0
371,1
372,1
373,0
374,0
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,0
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,0
399,0
400,0
401,1
402,0
403,1
404,1
405,0
406,1
407,1
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,1
423,1
424,1
425,0
426,0
427,1
428,0
429,0
430,1
431,1
432,1
433,0
434,1
435,0
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,0
447,1
448,1
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,0
457,1
458,1
459,1
460,0
461,1
462,0
463,1
464,0
465,1
466,0
467,1
468,0
469,0
470,0
471,1
472,1
473,1
474,1
475,0
476,0
477,0
478,0
479,1
480,0
481,0
482,0
483,0
484,1
485,0
486,0
487,0
488,0
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,0
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,0
518,0
519,0
520,1
521,1
522,0
523,0
524,0
525,1
526,0
527,1
528,1
529,1
530,1
531,1
532,0
533,0
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,0
545,0
546,1
547,0
548,0
549,1
550,0
551,0
552,0
553,1
554,0
555,0
556,0
557,0
558,0
559,1
560,1
561,0
562,0
563,0
564,1
565,1
566,1
567,1
568,1
569,1
570,0
571,1
572,1
573,1
574,1
575,1
576,1
577,0
578,1
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,1
587,0
588,1
589,1
590,1
591,1
592,0
593,0
594,1
595,1
596,1
597,1
598,0
599,1
600,1
601,1
602,1
603,0
604,1
605,0
606,1
607,1
608,0
609,0
610,0
611,0
612,0
613,1
614,1
615,1
616,0
617,0
618,1
619,1
620,0
621,0
622,0
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,0
632,1
633,0
634,0
635,0
636,0
637,1
638,0
639,1
640,1
641,0
642,1
643,1
644,1
645,1
646,0
647,0
648,0
649,1
650,1
651,0
652,0
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,0
675,0
676,1
677,1
678,1
679,1
680,0
681,1
682,1
683,0
684,1
685,0
686,1
687,0
688,1
689,0
690,1
691,0
692,0
693,0
694,1
695,0
696,1
697,0
698,0
699,1
700,0
701,0
702,1
703,0
704,1
705,1
706,0
707,1
708,1
709,1
710,0
711,0
712,1
713,1
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,0
724,1
725,0
726,0
727,0
728,1
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,1
774,1
775,1
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,1
786,0
787,0
788,0
789,1
790,1
791,0
792,0
793,0
794,0
795,0
796,1
797,0
798,0
799,1
800,0
801,0
802,1
803,0
804,0
805,0
806,0
807,0
808,1
809,0
810,0
811,0
812,1
