,arrival_date,label,revenue
0,2015-07-01,2.0,20311.186621487224
1,2015-07-02,1.0,16530.64527655626
2,2015-07-03,1.0,12966.714163965145
3,2015-07-04,1.0,17480.654256395064
4,2015-07-05,1.0,19591.458477872922
5,2015-07-06,2.0,21441.591688269396
6,2015-07-07,1.0,10930.818639041861
7,2015-07-08,1.0,12148.62265110177
8,2015-07-09,1.0,10274.330081330403
9,2015-07-10,2.0,23705.82834330749
10,2015-07-11,2.0,27216.100985806654
11,2015-07-12,2.0,22639.35050534954
12,2015-07-13,2.0,20809.522842088558
13,2015-07-14,1.0,15760.514650828876
14,2015-07-15,1.0,12779.152461695016
15,2015-07-16,2.0,24603.23136796614
16,2015-07-17,3.0,35427.85498972696
17,2015-07-18,3.0,37014.80697211941
18,2015-07-19,2.0,20388.25535229562
19,2015-07-20,3.0,36553.06021588758
20,2015-07-21,1.0,15595.747583205817
21,2015-07-22,1.0,11770.801310812767
22,2015-07-23,2.0,20703.367788638607
23,2015-07-24,2.0,29244.41701814653
24,2015-07-25,3.0,38455.3770356743
25,2015-07-26,2.0,24547.049655372877
26,2015-07-27,3.0,32740.541391664407
27,2015-07-28,1.0,10592.904345709625
28,2015-07-29,1.0,13586.897246127914
29,2015-07-30,2.0,21683.680859939035
30,2015-07-31,2.0,21995.142119564356
31,2015-08-01,5.0,56063.34636191028
32,2015-08-02,3.0,34373.7072320263
33,2015-08-03,3.0,39216.17410731946
34,2015-08-04,2.0,21667.1238146444
35,2015-08-05,2.0,20127.66903681461
36,2015-08-06,1.0,18103.36386570396
37,2015-08-07,2.0,27375.02060707519
38,2015-08-08,4.0,45576.44264591417
39,2015-08-09,3.0,38533.62310982913
40,2015-08-10,6.0,61565.40665298722
41,2015-08-11,3.0,30231.30542399514
42,2015-08-12,1.0,18156.516874513676
43,2015-08-13,2.0,25411.05557899987
44,2015-08-14,4.0,44756.70441327587
45,2015-08-15,5.0,57467.68830448066
46,2015-08-16,4.0,43211.29006118145
47,2015-08-17,5.0,52351.728160194965
48,2015-08-18,3.0,31621.367862933137
49,2015-08-19,2.0,21525.465696222436
50,2015-08-20,2.0,25384.35786252221
51,2015-08-21,3.0,34922.43985157718
52,2015-08-22,5.0,55828.07877705886
53,2015-08-23,4.0,41304.86127629634
54,2015-08-24,3.0,32840.34524860759
55,2015-08-25,2.0,22720.482327616544
56,2015-08-26,1.0,15190.620579302558
57,2015-08-27,1.0,17194.888687753475
58,2015-08-28,2.0,23928.31690629207
59,2015-08-29,3.0,38179.15697377861
